iter	Passed	Remaining
921	2232	188
922	2233	186
923	2238	184
924	2239	181
925	2241	179
926	2242	176
927	2243	174
928	2244	171
929	2246	169
930	2247	166
931	2248	164
932	2253	161
933	2254	159
934	2256	156
935	2257	154
936	2258	151
937	2259	149
938	2261	146
939	2262	144
940	2263	141
941	2267	139
942	2269	137
943	2271	134
944	2272	132
945	2273	129
946	2274	127
947	2276	124
948	2277	122
949	2281	120
950	2282	117
951	2284	115
952	2285	112
953	2286	110
954	2288	107
955	2289	105
956	2290	102
957	2291	100
958	2293	98
959	2297	95
960	2299	93
961	2300	90
962	2301	88
963	2303	86
964	2304	83
965	2305	81
966	2306	78
967	2308	76
968	2313	74
969	2314	71
970	2316	69
971	2318	66
972	2319	64
973	2320	61
974	2322	59
975	2323	57
976	2329	54
977	2331	52
978	2332	50
979	2334	47
980	2335	45
981	2336	42
982	2338	40
983	2342	38
984	2343	35
985	2345	33
986	2346	30
987	2347	28
988	2349	26
989	2350	23
990	2351	21
991	2352	18
992	2356	16
993	2358	14
994	2360	11
995	2361	9
996	2362	7
997	2364	4
998	2365	2
999	2366	0
